ID,Stratum,Long,Lat,VEG-DIST-STATUS,VEG-ANOM-MAX,VEG-IND-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-DUR,VEG-DIST-COUNT,GEN-DIST-STATUS,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-DUR,GEN-DIST-COUNT
255,3,46.5128201692129,3.40793014609255,0,0,78,0,NA,0,0,0,0,0,NA,0,0
256,6,-5.36489855300829,50.2290631764049,8,78,14,9152,20220522,48,13,0,51,0,NA,29,9
257,6,46.0489571018728,-22.4234083375351,0,0,89,0,NA,0,0,0,0,0,NA,0,0
258,3,-2.53199395298012,13.2573652271452,0,0,97,0,NA,0,0,0,0,0,NA,0,0
259,2,23.9843892636701,14.6460820475337,0,0,86,0,NA,0,0,0,0,0,NA,0,0
260,1,-108.211025133644,30.1418738625733,0,0,77,0,NA,0,0,0,0,0,NA,0,0
261,6,17.0092996982423,50.4036563055695,8,79,16,4518,20220510,41,9,1,85,26,20220929,17,4
262,4,38.862522758627,5.59133587892154,7,21,59,648,20220222,36,6,0,36,0,NA,26,6
263,1,47.0936331588855,36.7145675616731,0,0,67,0,NA,0,0,0,0,0,NA,0,0
264,3,35.7097211248991,31.2140933746272,0,0,26,0,NA,0,0,0,0,0,NA,0,0
265,2,-79.8849171033078,-6.44172957171847,0,0,99,0,NA,0,0,7,39,1823,20220614,92,9
266,2,141.090914237274,-33.8095588766427,0,0,51,0,NA,0,0,7,25,532,20220627,21,6
267,6,29.8124615854482,-12.1775707197408,0,0,88,0,NA,0,0,0,0,0,NA,0,0
268,5,-160.933554146063,63.5149761949895,0,0,90,0,NA,0,0,0,0,0,NA,0,0
269,4,-65.9172331492204,-31.7726510226663,8,51,16,11540,20220201,96,20,0,0,0,NA,0,0
270,3,-5.35783475208234,33.9440032172769,0,0,73,0,NA,0,0,0,0,0,NA,0,0
271,2,-108.420876836893,34.3078728153236,0,0,64,0,NA,0,0,0,0,0,NA,0,0
272,6,44.2128519892493,41.3252884463372,3,27,38,787,20220903,26,7,0,0,0,NA,0,0
273,1,34.3747725310979,55.9998781152994,0,0,99,0,NA,0,0,0,0,0,NA,0,0
