DIST_ID,nodata,olddataonly,newdataonly,data
DIST-ALERT_2022019T062442_L30_T41SMA_v1,3106576,23854,22352,10242818
DIST-ALERT_2022007T033026_L30_T49TCF_v1,13293668,691,187,101054
DIST-ALERT_2022009T031804_L30_T49TCF_v1,13392819,147,568,2066
DIST-ALERT_2022015T033026_L30_T49TCF_v1,12662346,3364,7611,722279
DIST-ALERT_2022016T032414_L30_T49TCF_v1,10893048,129455,130475,2242622
DIST-ALERT_2022026T063053_L30_T41SMA_v1,6357828,4111,6019,7027642
DIST-ALERT_2022023T033022_L30_T49TCF_v1,13392665,779,324,1832
DIST-ALERT_2022008T032416_L30_T49TCF_v1,10067964,150299,139465,3037872
DIST-ALERT_2022025T031800_L30_T49TCF_v1,13381321,707,429,13143
DIST-ALERT_2022031T033028_L30_T49TCF_v1,12787969,15826,12284,579521
DIST-ALERT_2022017T031805_L30_T49TCF_v1,12914362,63376,47519,370343
DIST-ALERT_2022002T031106_L30_T50TLP_v1,13395582,0,0,18
DIST-ALERT_2022024T032417_L30_T49TCF_v1,13239938,8944,7252,139466
DIST-ALERT_2022004T025845_L30_T50TLP_v1,12034129,296,1283712,77463
DIST-ALERT_2022010T031106_L30_T50TLP_v1,13395485,3,10,102
DIST-ALERT_2022003T030457_L30_T50TLP_v1,11084650,20000,38291,2252659
DIST-ALERT_2022012T025844_L30_T50TLP_v1,11821200,100606,54598,1419196
DIST-ALERT_2022018T031104_L30_T50TLP_v1,13395566,0,0,34
DIST-ALERT_2022026T031108_L30_T50TLP_v1,13395600,0,0,0
DIST-ALERT_2022011T030455_L30_T50TLP_v1,11303835,69263,77640,1944862
DIST-ALERT_2022019T030456_L30_T50TLP_v1,11640550,55103,89964,1609983
DIST-ALERT_2022027T030449_L30_T50TLP_v1,13395380,80,29,111
DIST-ALERT_2022009T015707_L30_T51KUQ_v1,10113722,99,88,3281691
DIST-ALERT_2022017T015708_L30_T51KUQ_v1,10166984,138,0,3228478
DIST-ALERT_2022002T015057_L30_T51KUQ_v1,81970,66,0,13313564
DIST-ALERT_2022025T015702_L30_T51KUQ_v1,10044621,145,0,3350834
DIST-ALERT_2022009T010941_L30_T52JEN_v1,13132043,0,15,263542
DIST-ALERT_2022028T025846_L30_T50TLP_v1,13392617,103,245,2635
DIST-ALERT_2022023T012140_L30_T52JEN_v1,13395600,0,0,0
DIST-ALERT_2022007T012140_L30_T52JEN_v1,12589136,118,0,806346
DIST-ALERT_2022015T012137_L30_T52JEN_v1,13351926,15637,11645,16392
DIST-ALERT_2022026T015059_L30_T51KUQ_v1,739483,10201,6757,12639159
DIST-ALERT_2022010T015057_L30_T51KUQ_v1,5961268,50596,29802,7353934
DIST-ALERT_2022008T011527_L30_T52JEN_v1,0,0,0,13395600
DIST-ALERT_2022024T011523_L30_T52JEN_v1,12406483,20905,12200,956012
DIST-ALERT_2022031T012132_L30_T52JEN_v1,13388222,865,315,6198
DIST-ALERT_2022025T010943_L30_T52JEN_v1,13079405,0,60,316135
DIST-ALERT_2022013T013112_L30_T52KDD_v1,11758125,14739,181534,1441202
DIST-ALERT_2022014T012501_L30_T52KDD_v1,11373867,31299,8254,1982180
DIST-ALERT_2022006T012502_L30_T52KDD_v1,2212424,10421,26867,11145888
